assessment_id,id_no,sci_name,presence,origin,seasonal,compiler,year,citation,legend,subspecies,subpop,dist_comm,island,tax_comm,source,basisofrec,event_year,longitude,latitude
725623,155130,Caranx sexfasciatus,1,1,5,T. Contreras,2018,IUCN Freshwater Biodiversity Unit,Extant (seasonality uncertain), , , , , ,T. Contreras McBeath 2014, ,,-101.6,17.7
725623,155130,Caranx sexfasciatus,1,1,5,T. Contreras,2018,IUCN Freshwater Biodiversity Unit,Extant (seasonality uncertain), , , , , ,T. Contreras McBeath 2014, ,,-101.567,17.6333
725623,155130,Caranx sexfasciatus,1,1,5,T. Contreras,2018,IUCN Freshwater Biodiversity Unit,Extant (seasonality uncertain), , , , , ,T. Contreras McBeath 2014, ,,-101.557,17.63
725623,155130,Caranx sexfasciatus,1,1,5,T. Contreras,2018,IUCN Freshwater Biodiversity Unit,Extant (seasonality uncertain), , , , , ,T. Contreras McBeath 2014, ,,-101.55666,17.630278
725623,155130,Caranx sexfasciatus,1,1,5,T. Contreras,2018,IUCN Freshwater Biodiversity Unit,Extant (seasonality uncertain), , , , , ,T. Contreras McBeath 2014, ,,-100.767,16.9667
725623,155130,Caranx sexfasciatus,1,1,5,T. Contreras,2018,IUCN Freshwater Biodiversity Unit,Extant (seasonality uncertain), , , , , ,T. Contreras McBeath 2014, ,,-100.0,16.0
725623,155130,Caranx sexfasciatus,1,1,5,T. Contreras,2018,IUCN Freshwater Biodiversity Unit,Extant (seasonality uncertain), , , , , ,T. Contreras McBeath 2014, ,,-99.967,16.917
725623,155130,Caranx sexfasciatus,1,1,5,T. Contreras,2018,IUCN Freshwater Biodiversity Unit,Extant (seasonality uncertain), , , , , ,T. Contreras McBeath 2014, ,,-92.5133,14.8417
725623,155130,Caranx sexfasciatus,1,1,5,T. Contreras,2018,IUCN Freshwater Biodiversity Unit,Extant (seasonality uncertain), , , , , ,T. Contreras McBeath 2014, ,,23.0333,-34.0333
725623,155130,Caranx sexfasciatus,1,1,5,T. Contreras,2018,IUCN Freshwater Biodiversity Unit,Extant (seasonality uncertain), , , , , ,T. Contreras McBeath 2014, ,,25.6167,-33.95
725623,155130,Caranx sexfasciatus,1,1,5,T. Contreras,2018,IUCN Freshwater Biodiversity Unit,Extant (seasonality uncertain), , , , , ,T. Contreras McBeath 2014, ,,25.6333,-33.8667
725623,155130,Caranx sexfasciatus,1,1,5,T. Contreras,2018,IUCN Freshwater Biodiversity Unit,Extant (seasonality uncertain), , , , , ,T. Contreras McBeath 2014, ,,25.7,-34.0333
725623,155130,Caranx sexfasciatus,1,1,5,T. Contreras,2018,IUCN Freshwater Biodiversity Unit,Extant (seasonality uncertain), , , , , ,T. Contreras McBeath 2014, ,,25.85,-33.7167
725623,155130,Caranx sexfasciatus,1,1,5,T. Contreras,2018,IUCN Freshwater Biodiversity Unit,Extant (seasonality uncertain), , , , , ,T. Contreras McBeath 2014, ,,26.6833,-33.6833
